Date,Time,Home Team ID,Away Team ID
20150808,1800,694,687
20150809,1300,697,111144
20150809,1600,689,112828
20150813,1600,112828,688
20150814,2000,111928,694
20150815,1600,689,111651
20150815,1630,691,698
20150815,1730,696,101112
20150815,1800,695,697
20150815,1900,111065,111140
20150816,1400,111144,112606
20150816,1600,112134,693
20150819,1630,687,112828
20150819,1730,696,111928
20150821,2000,111140,698
20150822,1700,111139,112134
20150822,1300,101112,695
20150822,1300,111651,112606
20150822,1600,688,111928
20150822,1630,687,696
20150822,1730,693,694
20150822,2000,111065,111144
20150823,1400,697,112828
20150826,1730,693,689
20150826,1800,694,698
20150828,2000,111928,697
20150829,1300,111651,111139
20150829,1300,112828,687
20150829,1600,112134,691
20150829,1630,112606,693
20150829,1800,695,111065
20150829,1800,698,101112
20150829,1800,694,696
20150830,1400,111144,111140
20150830,1600,689,688
20150905,1900,111144,111651
20150905,1700,111139,693
20150905,1630,691,112606
20150905,1930,111928,112134
20150906,1600,687,695
20150909,1900,101112,694
20150909,1930,111140,696
20150911,1600,689,693
20150912,1600,112134,687
20150912,1730,698,111065
20150912,1730,695,112828
20150912,1800,694,688
20150912,1930,111928,111144
20150912,1930,697,111139
20150913,1400,111651,691
20150913,1600,112606,696
20150916,1600,112828,111651
20150916,1630,691,689
20150918,1600,696,695
20150919,1700,111139,691
20150919,1600,101112,111144
20150919,1400,111651,694
20150919,1600,112828,111928
20150919,1600,688,687
20150919,1730,693,112606
20150919,1830,111065,697
20150920,1400,111140,689
20150920,1600,112134,698
20150923,1730,698,696
20150923,1700,111139,693
20150925,1600,689,112606
20150926,1400,111139,688
20150926,1900,101112,112828
20150926,1100,111651,693
20150926,1630,687,111140
20150926,1630,691,112134
20150926,1730,698,694
20150926,1930,697,695
20150927,1400,696,111144
20150927,1600,111928,111065
20151002,1600,688,112828
20151003,1400,111651,112134
20151003,1600,689,687
20151003,1630,112606,111139
20151003,1730,693,691
20151003,1800,694,111065
20151003,1930,111140,696
20151003,1930,111928,101112
20151004,1400,695,698
20151004,1830,111144,697
20151007,1900,101112,695
20151010,1800,694,111139
20151014,1600,111651,689
20151014,1800,695,101112
20151014,1830,111065,111140
20151016,1600,112606,112828
20151016,2000,111928,696
20151017,1400,111651,687
20151017,1630,691,111139
20151017,1830,111065,695
20151018,1600,688,693
20151018,1600,689,112134
20151018,1600,698,111144
20151018,1600,697,111140
20151025,1400,687,688
20151025,1400,111139,111651
20151025,1400,112828,691
20151025,1400,112134,112606
20151025,1400,693,689
20151025,1600,111140,694
20151025,1600,696,697
20151025,1600,111144,111065
20151025,1600,101112,698
20151025,1600,695,111928
