Date,Time,Home Id,Away Id
20160221,1700,110832,461
20160221,1700,573,243
20160221,1900,452,242
20160221,2100,449,459
20160227,1800,241,481
20160227,1800,1860,450
20160227,2000,243,240
20160227,2000,467,472
20160227,2200,483,1853
20160228,1700,242,110832
20160228,1700,449,480
20160228,1700,457,573
20160228,1900,459,452
20160228,2100,461,448
20160301,2000,1853,243
20160301,2000,480,241
20160301,2000,450,483
20160301,2200,481,467
20160301,2200,472,1860
20160302,2000,448,242
20160302,2000,240,457
20160302,2000,110832,459
20160302,2200,573,461
20160302,2200,452,449
20160305,1800,1860,481
20160305,1800,243,450
20160305,2000,457,1853
20160305,2000,467,241
20160305,2200,483,472
20160306,1700,242,573
20160306,1700,452,480
20160306,1700,449,110832
20160306,1900,459,448
20160306,2100,461,240
20160312,1800,241,1860
20160312,1800,480,467
20160312,2000,450,457
20160312,2000,481,483
20160312,2200,472,243
20160313,1700,448,449
20160313,1700,240,242
20160313,1700,110832,452
20160313,1900,1853,461
20160313,2100,573,459
20160319,1800,1860,467
20160319,1800,243,481
20160319,2000,457,472
20160319,2000,461,450
20160319,2200,483,241
20160320,1700,110832,480
20160320,1700,242,1853
20160320,1700,452,448
20160320,1900,449,573
20160320,2100,459,240
20160402,1800,241,243
20160402,1800,480,1860
20160402,2000,467,483
20160402,2000,481,457
20160402,2200,472,461
20160403,1700,448,110832
20160403,1700,240,449
20160403,1700,1853,459
20160403,1900,573,452
20160403,2100,450,242
20160409,1800,242,472
20160409,1800,243,467
20160409,2000,457,241
20160409,2000,461,481
20160409,2200,483,1860
20160410,1700,448,480
20160410,1700,110832,573
20160410,1700,452,240
20160410,1900,449,1853
20160410,2100,459,450
20160416,1800,241,461
20160416,1800,1860,243
20160416,2000,480,483
20160416,2000,467,457
20160416,2200,481,242
20160417,1700,240,110832
20160417,1700,1853,452
20160417,1700,573,448
20160417,1900,450,449
20160417,2100,472,459
20160419,2000,242,241
20160419,2000,243,483
20160419,2000,457,1860
