Date,Local Time,Home ID,Away ID
20140830,1930,111928,111065
20140830,1730,693,695
20140830,1630,111139,687
20140830,1400,111651,691
20140830,1300,111144,694
20140831,1700,111070,697
20140831,1130,688,689
20140903,1930,111070,111144
20140903,1630,691,696
20140903,1600,112134,111651
20140905,1930,697,694
20140906,1900,101112,688
20140906,1900,111065,695
20140906,1730,698,111139
20140906,1630,689,696
20140906,1100,111651,112134
20140907,1600,691,693
20140907,1400,111140,111928
20140907,1200,687,111070
20140910,1900,101112,111928
20140910,1700,689,688
20140910,1630,111139,697
20140912,1930,111070,696
20140912,1930,111144,111065
20140913,1800,694,111140
20140913,1730,698,687
20140913,1730,693,111651
20140913,1730,695,101112
20140913,1630,691,111139
20140913,1200,112134,689
20140914,1200,111928,697
20140919,1900,111065,694
20140920,1930,697,695
20140920,1730,693,688
20140920,1630,689,111144
20140920,1630,687,691
20140920,1630,111139,111928
20140920,1600,112134,698
20140920,1400,111140,101112
20140921,1200,111651,111070
20140924,1800,695,111144
20140926,1700,696,691
20140927,1800,694,111928
20140927,1630,687,111139
20140927,1600,101112,111065
20140927,1300,111144,111070
20140927,1200,688,112134
20140927,1000,111651,111140
20140928,1730,697,689
20140928,1200,698,693
20141002,1700,112134,693
20141003,1700,688,696
20141004,2000,111928,111140
20141004,1930,697,111651
20141004,1630,691,687
20141004,1600,101112,695
20141004,1500,689,698
20141005,1600,111070,111065
20141005,1400,693,111139
20141005,1200,694,111144
20141008,1930,111140,111928
20141008,1630,111651,698
20141010,1900,111144,101112
20141010,1730,696,693
20141011,1930,111070,694
20141011,1830,111065,111928
20141011,1600,112134,687
20141011,1600,689,111651
20141011,1300,111139,691
20141012,1600,695,697
20141012,1200,698,688
20141016,1700,698,691
20141017,1900,111140,111065
20141018,1930,111928,101112
20141018,1600,688,693
20141018,1600,112134,696
20141018,1200,694,695
20141018,1100,111651,111139
20141019,1730,697,111144
20141019,1200,689,687
20141022,1830,111065,111070
20141024,1700,693,698
20141025,1900,101112,694
20141025,1830,695,111140
20141025,1630,691,111651
20141025,1300,111139,688
20141025,1130,111144,697
20141026,1730,696,689
20141026,1400,687,112134
20141026,1200,111070,111928
